"taxa","group"
"Actinobacteria","phylum"
"Bacteroidetes","phylum"
"Chloroflexi","phylum"
"Cyanobacteria","phylum"
"Firmicutes","phylum"
"Fusobacteria","phylum"
"Proteobacteria","phylum"
"Tenericutes","phylum"
"TM7","phylum"
"Verrucomicrobia","phylum"
"Actinomycetales","order"
"Bacillales","order"
"Bacteroidales","order"
"Bifidobacteriales","order"
"Burkholderiales","order"
"Caulobacterales","order"
"Clostridiales","order"
"Enterobacteriales","order"
"Flavobacteriales","order"
"Fusobacteriales","order"
"JG30_KF_CM45","order"
"Lactobacillales","order"
"Pseudomonadales","order"
"Rhizobiales","order"
"Rhodobacterales","order"
"Rhodospirillales","order"
"Sphingobacteriales","order"
"Streptophyta","order"
"Turicibacterales","order"
"Verrucomicrobiales","order"
"Xanthomonadales","order"
"Actinomycetaceae","family"
"Aerococcaceae","family"
"Alcaligenaceae","family"
"Bacillaceae","family"
"Bifidobacteriaceae","family"
"Bradyrhizobiaceae","family"
"Brevibacteriaceae","family"
"Carnobacteriaceae","family"
"Caulobacteraceae","family"
"Christensenellaceae","family"
"Clostridiaceae","family"
"Comamonadaceae","family"
"Corynebacteriaceae","family"
"Dermabacteraceae","family"
"Dietziaceae","family"
"Enterobacteriaceae","family"
"Enterococcaceae","family"
"Flavobacteriaceae","family"
"Fusobacteriaceae","family"
"Intrasporangiaceae","family"
"Lachnospiraceae","family"
"Lactobacillaceae","family"
"Leuconostocaceae","family"
"Listeriaceae","family"
"Methylobacteriaceae","family"
"Microbacteriaceae","family"
"Micrococcaceae","family"
"Moraxellaceae","family"
"Oxalobacteraceae","family"
"Paraprevotellaceae","family"
"Peptostreptococcaceae","family"
"Planococcaceae","family"
"Porphyromonadaceae","family"
"Prevotellaceae","family"
"Pseudomonadaceae","family"
"Rhizobiaceae","family"
"Rhodobacteraceae","family"
"Rhodospirillaceae","family"
"Rikenellaceae","family"
"Ruminococcaceae","family"
"Sphingobacteriaceae","family"
"Sphingomonadaceae","family"
"Staphylococcaceae","family"
"Streptococcaceae","family"
"Streptomycetaceae","family"
"Tissierellaceae","family"
"Turicibacteraceae","family"
"Veillonellaceae","family"
"Verrucomicrobiaceae","family"
"Weeksellaceae","family"
"Xanthomonadaceae","family"
